segment_id,system_type,corridor_name,district,pipe_material,diameter_inches,length_ft,depth_ft,install_year,asset_age_years,condition_score,breaks_last_5yr,soil_corrosivity,capacity_utilization_pct,criticality_class,estimated_replacement_cost_usd,last_inspection_date,inspection_method,lat,lon
PIPE-0001,Sewer,Chinden Blvd,West Boise,Ductile Iron,6,1326,19.8,1992,34,74,0,0.5,67.4,Medium,149482,2022-11-12,Flow Monitoring,43.651469,-116.338837
PIPE-0002,Water,15th St,North End,Cast Iron,36,1339,6.2,1953,73,11,4,0.72,,Medium,779471,2024-06-09,Acoustic Leak Detection,43.669754,-116.210961
PIPE-0003,Water,Franklin Rd,West Boise,PVC,30,711,5.2,2014,12,100,0,0.5,,High,258280,2025-06-22,Visual,43.609839,-116.299717
PIPE-0004,Sewer,8th St,Downtown,Vitrified Clay,15,2057,9.2,1949,77,22,3,0.78,50.6,High,770513,2023-10-17,Manhole Inspection,43.623855,-116.197811
PIPE-0005,Stormwater,Cloverdale Rd,West Boise,Concrete,36,429,5.5,1999,27,96,0,0.5,47.1,Low,136163,2023-05-08,Visual,43.6,-116.338807
PIPE-0006,Sewer,Eastman St,North End,Vitrified Clay,12,2499,16.7,1933,93,5,4,0.72,72.7,High,743218,2025-01-09,Flow Monitoring,43.641234,-116.183239
PIPE-0007,Pressurized Irrigation,Cloverdale Rd,West Boise,PVC PR-SDR,10,1763,4.2,1995,31,77,0,0.5,71.4,Medium,206399,2024-04-10,Valve Inspection,43.627671,-116.336192
PIPE-0008,Sewer,Broadway Ave,Downtown,PVC,6,1278,7.1,1984,42,90,0,0.78,63.1,Low,188176,2022-12-12,CCTV,43.626,-116.186428
PIPE-0009,Water,Ustick Rd,West Boise,Ductile Iron,24,279,6.9,2005,21,69,0,0.5,,Medium,88480,2022-12-08,Visual,43.630671,-116.310962
PIPE-0010,Stormwater,I-184 Corridor,Downtown,Concrete,60,876,9.5,1985,41,56,0,0.78,39.7,High,532390,2023-01-08,Dye Test,43.60759,-116.184205
PIPE-0011,Stormwater,Broadway Ave,Downtown,Corrugated Metal,24,462,3.9,1970,56,26,3,0.78,70.5,High,140323,2023-03-14,Visual,43.6,-116.18747
PIPE-0012,Stormwater,Eagle Rd,West Boise,PVC,72,2136,10.9,1993,33,93,0,0.5,24.9,High,420405,2025-07-31,Dye Test,43.60444,-116.354162
PIPE-0013,Stormwater,Victory Rd,Southeast,Concrete,24,984,6.0,1961,65,55,1,0.55,40.1,Low,220223,2025-11-02,CCTV,43.568141,-116.199111
PIPE-0014,Stormwater,Vista Ave,Southeast,Concrete,42,2189,3.0,1965,61,49,2,0.55,77.5,Low,474958,2022-10-21,Dye Test,43.573509,-116.2
PIPE-0015,Sewer,Fairview Ave,Downtown,Vitrified Clay,15,1091,20.0,1937,89,11,3,0.78,52.5,High,524537,2024-11-17,CCTV,43.618812,-116.193666
PIPE-0016,Sewer,Ustick Rd,West Boise,Ductile Iron,42,1163,16.6,1989,37,76,0,0.5,66.6,Medium,720562,2024-02-28,Smoke Test,43.632423,-116.264672
PIPE-0017,Water,Eastman St,North End,Cast Iron,8,1428,6.7,1950,76,5,9,0.72,,Medium,134454,2025-07-15,Visual,43.640743,-116.17
PIPE-0018,Stormwater,Maple Grove Rd,Southwest,Reinforced Concrete Box,18,1994,10.8,1973,53,57,0,0.6,54.1,High,437746,2025-04-10,CCTV,43.6,-116.274779
PIPE-0019,Sewer,Victory Rd,Southwest,Concrete,15,1354,17.7,1964,62,37,0,0.6,66.2,Medium,647078,2025-11-25,Manhole Inspection,43.570629,-116.262591
PIPE-0020,Water,Jefferson St,Downtown,Ductile Iron,12,861,4.7,1965,61,48,2,0.78,,High,279016,2025-03-16,Acoustic Leak Detection,43.617447,-116.196866
PIPE-0021,Pressurized Irrigation,Ustick Rd,West Boise,PVC C900,4,1665,3.5,2004,22,92,0,0.5,26.2,Low,170963,2024-12-05,Valve Inspection,43.63126,-116.320038
PIPE-0022,Water,Capitol Blvd,Downtown,Cast Iron,16,1886,6.2,1936,90,5,6,0.78,,Medium,666405,2024-03-17,Visual,43.626,-116.198816
PIPE-0023,Sewer,15th St,North End,Vitrified Clay,42,991,20.5,1926,100,5,7,0.72,57.3,Medium,823701,2024-06-16,Smoke Test,43.636877,-116.209328
PIPE-0024,Stormwater,Cole Rd,West Boise,Concrete,12,644,14.8,2001,25,91,0,0.5,55.7,Medium,44071,2022-11-26,Visual,43.632726,-116.256926
PIPE-0025,Sewer,Broadway Ave,Southeast,PVC,8,1552,23.0,1982,44,75,0,0.55,68.5,Low,517463,2023-10-18,Smoke Test,43.577852,-116.18702
PIPE-0026,Sewer,McMillan Rd,West Boise,HDPE,15,1863,13.6,2021,5,90,0,0.5,24.1,Low,562219,2024-12-20,CCTV,43.643288,-116.349968
PIPE-0027,Pressurized Irrigation,Ustick Rd,West Boise,PVC C900,12,1572,2.9,2009,17,97,0,0.5,36.5,High,195767,2024-10-30,Valve Inspection,43.63056,-116.26384
PIPE-0028,Sewer,Cole Rd,Southwest,Concrete,12,804,20.4,1980,46,64,3,0.6,56.3,High,388481,2025-03-29,Flow Monitoring,43.584485,-116.258967
PIPE-0029,Water,Jefferson St,Downtown,Asbestos Cement,30,2489,6.6,1954,72,25,2,0.78,,High,1166222,2024-06-20,Visual,43.616573,-116.175
PIPE-0030,Sewer,Chinden Blvd,West Boise,PVC,30,2184,10.7,2002,24,98,0,0.5,43.1,Medium,522496,2025-07-24,Flow Monitoring,43.65376,-116.328032
PIPE-0031,Sewer,Gowen Rd,Southeast,Ductile Iron,30,2108,23.1,2006,20,68,0,0.55,22.5,High,1318777,2023-09-26,Flow Monitoring,43.542495,-116.181453
PIPE-0032,Water,Curtis Rd,Southwest,PVC,36,1103,4.9,1989,37,92,0,0.6,,High,522722,2023-09-18,Acoustic Leak Detection,43.579058,-116.223362
PIPE-0033,Stormwater,Jefferson St,Downtown,Concrete,18,2091,7.1,1952,74,46,1,0.78,80.6,Medium,345673,2022-11-24,CCTV,43.61409,-116.22
PIPE-0034,Water,Vista Ave,Southeast,Asbestos Cement,6,364,3.8,1969,57,40,5,0.55,,Low,77829,2024-12-24,Acoustic Leak Detection,43.595,-116.2
PIPE-0035,Stormwater,Hill Rd,North End,Concrete,15,305,14.3,1944,82,47,0,0.72,58.7,Medium,35286,2025-03-30,CCTV,43.662573,-116.208936
PIPE-0036,Pressurized Irrigation,McMillan Rd,West Boise,HDPE,10,1717,3.6,2010,16,94,0,0.5,53.1,High,91720,2022-12-30,Flow Monitoring,43.640414,-116.298197
PIPE-0037,Pressurized Irrigation,Cloverdale Rd,West Boise,HDPE,12,2180,4.8,2018,8,98,0,0.5,42.3,Medium,223849,2024-01-14,Pressure Test,43.61719,-116.334046
PIPE-0038,Stormwater,McMillan Rd,West Boise,Concrete,18,2197,11.4,2005,21,67,0,0.5,52.8,Medium,197717,2024-07-28,Dye Test,43.641273,-116.286173
PIPE-0039,Sewer,State St,West Boise,PVC,24,270,11.1,2016,10,93,0,0.5,41.0,Low,99218,2024-05-27,Manhole Inspection,43.634558,-116.302272
PIPE-0040,Pressurized Irrigation,Ustick Rd,West Boise,PVC PR-SDR,4,988,4.3,2000,26,79,0,0.5,40.6,Low,79328,2024-10-31,Flow Monitoring,43.631893,-116.28057
PIPE-0041,Water,15th St,North End,Cast Iron,8,1438,4.1,1948,78,14,12,0.72,,Medium,144380,2023-04-16,Ultrasonic,43.626,-116.207795
PIPE-0042,Sewer,Victory Rd,Southeast,PVC,10,410,6.3,1976,50,100,0,0.55,26.4,High,61930,2024-07-12,CCTV,43.568515,-116.166062
PIPE-0043,Sewer,Victory Rd,Southwest,PVC,36,1124,10.9,1981,45,76,0,0.6,54.0,Medium,239904,2024-09-26,Manhole Inspection,43.571654,-116.28957
PIPE-0044,Stormwater,Jefferson St,Downtown,Concrete,24,911,8.6,1935,91,38,0,0.78,81.9,High,276691,2024-06-09,Visual,43.616312,-116.22
PIPE-0045,Sewer,Eisenman Rd,Southeast,PVC,30,1120,6.4,1992,34,97,1,0.55,54.9,Medium,565187,2023-08-31,Manhole Inspection,43.561811,-116.16755
PIPE-0046,Water,Overland Rd,Southwest,PVC,24,1993,4.7,1989,37,82,0,0.6,,Medium,920793,2024-05-30,Acoustic Leak Detection,43.585483,-116.306811
PIPE-0047,Water,Harrison Blvd,North End,Galvanized Steel,30,2011,5.3,1955,71,5,5,0.72,,High,538711,2023-02-22,Pressure Test,43.676286,-116.201911
PIPE-0048,Sewer,Eagle Rd,West Boise,Ductile Iron,30,350,24.4,2010,16,70,2,0.5,56.5,Critical,195691,2023-11-23,Flow Monitoring,43.621386,-116.355113
PIPE-0049,Sewer,Chinden Blvd,West Boise,PVC,6,1033,22.6,2013,13,85,0,0.5,17.0,Critical,355532,2023-08-20,CCTV,43.651602,-116.339519
PIPE-0050,Water,15th St,North End,Cast Iron,24,681,6.7,1932,94,5,6,0.72,,Critical,194748,2023-01-27,Visual,43.656817,-116.210076
PIPE-0051,Sewer,Idaho St,Downtown,Concrete,21,1592,10.7,1942,84,54,0,0.78,100.0,Medium,598173,2022-10-29,Flow Monitoring,43.616605,-116.201381
PIPE-0052,Sewer,Five Mile Rd,Southwest,Ductile Iron,12,1178,5.9,1975,51,46,1,0.6,63.6,Low,299720,2023-02-22,CCTV,43.580744,-116.296599
PIPE-0053,Water,Jefferson St,Downtown,Cast Iron,36,1559,4.8,1957,69,7,10,0.78,,Medium,511342,2024-01-09,Ultrasonic,43.618218,-116.175
PIPE-0054,Water,State St,West Boise,Ductile Iron,16,2385,5.9,1990,36,64,0,0.5,,Low,263042,2023-06-28,Acoustic Leak Detection,43.63628,-116.294667
